kind,seed,rank,source,ablation_reduction,aggregate_mean
random,5,8,motifbridge,-4.470348358154297e-08,0.003906235098838806
random,5,8,phasenest,0.0,0.003906235098838806
random,5,8,phasesar,-0.03125,0.003906235098838806
random,5,8,quorumweave,0.03125,0.003906235098838806
random,5,8,shardbloom,0.0,0.003906235098838806
random,6,1,anchorshift,0.0625,9.313225746154785e-10
random,6,1,driftgate,-0.0625,9.313225746154785e-10
random,6,1,fluxpatch,-0.0625,9.313225746154785e-10
random,6,1,motifbridge,-2.9802322387695312e-08,9.313225746154785e-10
random,6,1,phasenest,-0.0624999925494194,9.313225746154785e-10
random,6,1,phasesar,0.03125,9.313225746154785e-10
random,6,1,quorumweave,0.0625,9.313225746154785e-10
random,6,1,shardbloom,0.03125002980232239,9.313225746154785e-10
random,6,2,anchorshift,-0.031250059604644775,-0.003906259313225746
random,6,2,driftgate,-0.031250014901161194,-0.003906259313225746
random,6,2,fluxpatch,0.03125,-0.003906259313225746
random,6,2,motifbridge,-0.03125002980232239,-0.003906259313225746
random,6,2,phasenest,-0.0625,-0.003906259313225746
random,6,2,phasesar,0.0,-0.003906259313225746
random,6,2,quorumweave,0.03125,-0.003906259313225746
random,6,2,shardbloom,0.06250002980232239,-0.003906259313225746
random,6,3,anchorshift,-0.03125,-0.01953124813735485
random,6,3,driftgate,-0.0625,-0.01953124813735485
random,6,3,fluxpatch,-0.031249985098838806,-0.01953124813735485
random,6,3,motifbridge,0.031249970197677612,-0.01953124813735485
random,6,3,phasenest,0.03125002980232239,-0.01953124813735485
random,6,3,phasesar,0.03125,-0.01953124813735485
random,6,3,quorumweave,-0.0625,-0.01953124813735485
random,6,3,shardbloom,-0.0625,-0.01953124813735485
random,6,4,anchorshift,-0.06250002980232239,-0.015625004656612873
random,6,4,driftgate,-0.0625000074505806,-0.015625004656612873
random,6,4,fluxpatch,0.0,-0.015625004656612873
random,6,4,motifbridge,-0.06250002980232239,-0.015625004656612873
random,6,4,phasenest,0.03125,-0.015625004656612873
random,6,4,phasesar,0.03125,-0.015625004656612873
random,6,4,quorumweave,-0.03125,-0.015625004656612873
random,6,4,shardbloom,0.03125002980232239,-0.015625004656612873
random,6,5,anchorshift,-0.03125002980232239,0.0078124962747097015
random,6,5,driftgate,-0.03125,0.0078124962747097015
random,6,5,fluxpatch,0.0,0.0078124962747097015
random,6,5,motifbridge,-0.03125002980232239,0.0078124962747097015
random,6,5,phasenest,-0.0625,0.0078124962747097015
