kind,seed,source,addition_effect,aggregate_mean
random,17,driftgate,-0.0625,-0.01953125
random,17,fluxpatch,-0.031249992549419403,-0.01953125
random,17,motifbridge,-1.4901161193847656e-08,-0.01953125
random,17,phasenest,-0.015625,-0.01953125
random,17,phasesar,-7.450580596923828e-09,-0.01953125
random,17,quorumweave,-0.03125,-0.01953125
random,17,shardbloom,2.9802322387695312e-08,-0.01953125
random,18,anchorshift,0.015625,0.01367187313735485
random,18,driftgate,0.015625,0.01367187313735485
random,18,fluxpatch,0.03125,0.01367187313735485
random,18,motifbridge,-2.2351741790771484e-08,0.01367187313735485
random,18,phasenest,0.0,0.01367187313735485
random,18,phasesar,7.450580596923828e-09,0.01367187313735485
random,18,quorumweave,0.015625,0.01367187313735485
random,18,shardbloom,0.03125,0.01367187313735485
random,19,anchorshift,-0.03125,0.017578125
random,19,driftgate,-7.450580596923828e-09,0.017578125
random,19,fluxpatch,0.046875,0.017578125
random,19,motifbridge,0.046874985098838806,0.017578125
random,19,phasenest,0.015625,0.017578125
random,19,phasesar,0.0468749925494194,0.017578125
random,19,quorumweave,-0.015625,0.017578125
random,19,shardbloom,0.03125002980232239,0.017578125
random,20,anchorshift,0.046874985098838806,0.03320311801508069
random,20,driftgate,0.015624981373548508,0.03320311801508069
random,20,fluxpatch,0.0,0.03320311801508069
random,20,motifbridge,0.04687497764825821,0.03320311801508069
random,20,phasenest,0.031249985098838806,0.03320311801508069
random,20,phasesar,0.046875,0.03320311801508069
random,20,quorumweave,0.0625,0.03320311801508069
random,20,shardbloom,0.015625014901161194,0.03320311801508069
random,21,anchorshift,-0.046875014901161194,-0.01562500512227416
random,21,driftgate,-0.046875011175870895,-0.01562500512227416
random,21,fluxpatch,-0.03125,-0.01562500512227416
random,21,motifbridge,-1.4901161193847656e-08,-0.01562500512227416
random,21,phasenest,-0.015625,-0.01562500512227416
random,21,phasesar,0.015625,-0.01562500512227416
random,21,quorumweave,0.0,-0.01562500512227416
random,21,shardbloom,0.0,-0.01562500512227416
random,22,anchorshift,-0.046875014901161194,-0.039062502793967724
random,22,driftgate,-0.0625,-0.039062502793967724
random,22,fluxpatch,-0.0937500149011612,-0.039062502793967724
random,22,motifbridge,-2.2351741790771484e-08,-0.039062502793967724
random,22,phasenest,-1.4901161193847656e-08,-0.039062502793967724
random,22,phasesar,-0.031249970197677612,-0.039062502793967724
random,22,quorumweave,-0.0625,-0.039062502793967724
random,22,shardbloom,-0.015624985098838806,-0.039062502793967724
random,23,anchorshift,0.09375,0.021484374534338713
random,23,driftgate,-3.725290298461914e-09,0.021484374534338713
random,23,fluxpatch,0.046875,0.021484374534338713
random,23,motifbridge,-1.4901161193847656e-08,0.021484374534338713
random,23,phasenest,-0.015625,0.021484374534338713
random,23,phasesar,0.015625,0.021484374534338713
random,23,quorumweave,0.0,0.021484374534338713
random,23,shardbloom,0.031250014901161194,0.021484374534338713
random,24,anchorshift,-0.015625,-0.01757812686264515
random,24,driftgate,-0.015625,-0.01757812686264515
random,24,fluxpatch,-0.03125,-0.01757812686264515
random,24,motifbridge,-1.4901161193847656e-08,-0.01757812686264515
random,24,phasenest,0.0,-0.01757812686264515
random,24,phasesar,-0.015625014901161194,-0.01757812686264515
random,24,quorumweave,-0.078125,-0.01757812686264515
random,24,shardbloom,0.015625014901161194,-0.01757812686264515
random,25,anchorshift,-0.046875014901161194,-0.05078125186264515
random,25,driftgate,-0.0625,-0.05078125186264515
random,25,fluxpatch,-0.046875,-0.05078125186264515
random,25,motifbridge,-0.015625014901161194,-0.05078125186264515
random,25,phasenest,-0.0625,-0.05078125186264515
random,25,phasesar,-0.0625,-0.05078125186264515
random,25,quorumweave,-0.0625,-0.05078125186264515
random,25,shardbloom,-0.046874985098838806,-0.05078125186264515
random,26,anchorshift,-1.4901161193847656e-08,0.007812500931322575
random,26,driftgate,-0.03125,0.007812500931322575
random,26,fluxpatch,-0.031249985098838806,0.007812500931322575
random,26,motifbridge,0.0468749925494194,0.007812500931322575
random,26,phasenest,0.0312500074505806,0.007812500931322575
random,26,phasesar,0.015624992549419403,0.007812500931322575
random,26,quorumweave,0.015625,0.007812500931322575
random,26,shardbloom,0.015625014901161194,0.007812500931322575
random,27,anchorshift,-2.9802322387695312e-08,-0.009765630587935448
random,27,driftgate,-0.0625000074505806,-0.009765630587935448
random,27,fluxpatch,0.015625,-0.009765630587935448
random,27,motifbridge,-0.015625014901161194,-0.009765630587935448
random,27,phasenest,-0.03125,-0.009765630587935448
random,27,phasesar,0.031249992549419403,-0.009765630587935448
random,27,quorumweave,0.0,-0.009765630587935448
random,27,shardbloom,-0.015624985098838806,-0.009765630587935448
random,28,anchorshift,-0.015625014901161194,-0.02343750186264515
random,28,driftgate,-0.015625,-0.02343750186264515
random,28,fluxpatch,0.0,-0.02343750186264515
random,28,motifbridge,-0.03125002980232239,-0.02343750186264515
random,28,phasenest,-0.078125,-0.02343750186264515
random,28,phasesar,-0.015625,-0.02343750186264515
