heldout_source,seed,mean_addition_effect
unet,65,-0.046874985098838806
unet,66,-0.0781249925494194
unet,67,0.046875
unet,68,-0.031249992549419403
unet,69,0.015625007450580597
unet,70,0.0312500074505806
unet,71,-0.0468749925494194
unet,72,0.0468750074505806
unet,73,-0.031249992549419403
unet,74,0.015625
unet,75,-0.015624992549419403
unet,76,-0.031249992549419403
unet,77,-0.0468749925494194
unet,78,-0.0468749925494194
unet,79,7.450580596923828e-09
unet,80,-0.015624992549419403
unet,81,-0.031249992549419403
unet,82,0.03125
unet,83,0.0937499850988388
unet,84,7.450580596923828e-09
unet,85,0.0781250074505806
unet,86,7.450580596923828e-09
unet,87,-0.015624992549419403
unet,88,7.450580596923828e-09
unet,89,0.031250014901161194
unet,90,0.03125
unet,91,0.03124997764825821
unet,92,0.015625014901161194
unet,93,0.0312500074505806
unet,94,-0.015624992549419403
unet,95,7.450580596923828e-09
unet,96,-0.031249992549419403
unet,97,7.450580596923828e-09
unet,98,-0.046874985098838806
unet,99,-0.0468749925494194
xgboost,0,0.03125
xgboost,1,-0.046875
xgboost,2,-0.0937499925494194
xgboost,3,-0.0625
xgboost,4,0.0
xgboost,5,0.0
xgboost,6,-0.015625
xgboost,7,-0.03125
xgboost,8,-7.450580596923828e-09
xgboost,9,0.0
xgboost,10,-0.01562502235174179
xgboost,11,-0.0625
xgboost,12,-0.015625
xgboost,13,0.0
xgboost,14,0.031250014901161194
xgboost,15,-0.015625014901161194
xgboost,16,0.03125
xgboost,17,-0.06249997764825821
xgboost,18,0.015625
xgboost,19,0.0
xgboost,20,0.04687502980232239
xgboost,21,0.0
xgboost,22,-0.078125
xgboost,23,0.09375
xgboost,24,-0.046875
xgboost,25,-0.062499985098838806
xgboost,26,-0.015625
xgboost,27,-0.015625007450580597
xgboost,28,-0.046875
xgboost,29,0.0
xgboost,30,-0.031249985098838806
xgboost,31,0.03125
xgboost,32,-0.015624985098838806
xgboost,33,0.046875
xgboost,34,-0.0625
xgboost,35,-0.03125
xgboost,36,0.046875
xgboost,37,0.09375
xgboost,38,-0.015624992549419403
xgboost,39,0.015624985098838806
xgboost,40,-0.07812497019767761
xgboost,41,0.015625
xgboost,42,-0.078125
xgboost,43,0.0
xgboost,44,-0.015625014901161194
xgboost,45,0.062499985098838806
xgboost,46,0.015624985098838806
xgboost,47,-0.109375
xgboost,48,1.4901161193847656e-08
xgboost,49,-0.0468750074505806
xgboost,50,0.04687502980232239
xgboost,51,0.03125002980232239
xgboost,52,0.031249985098838806
xgboost,53,-0.03125
xgboost,54,-0.0468750074505806
xgboost,55,-0.015625014901161194
xgboost,56,0.015625037252902985
xgboost,57,-7.450580596923828e-09
xgboost,58,-0.046875
xgboost,59,-7.450580596923828e-09
xgboost,60,-0.046875
xgboost,61,-0.09375
xgboost,62,-0.015625014901161194
xgboost,63,-0.078125
xgboost,64,-0.015624985098838806
xgboost,65,-0.046875014901161194
xgboost,66,-0.0937499850988388
xgboost,67,0.015625
xgboost,68,-0.0781250149011612
xgboost,69,-0.031249985098838806
xgboost,70,-0.03125
xgboost,71,-0.078125
xgboost,72,0.0312500074505806
xgboost,73,-0.03125
xgboost,74,-0.015625
xgboost,75,0.0
xgboost,76,-0.03125
xgboost,77,-0.01562502235174179
xgboost,78,-0.062499985098838806
xgboost,79,0.0
xgboost,80,0.015625
xgboost,81,-0.062499985098838806
xgboost,82,-0.015625
xgboost,83,0.062499985098838806
xgboost,84,-0.015625
xgboost,85,0.046875
xgboost,86,-0.046874985098838806
xgboost,87,7.450580596923828e-09
xgboost,88,-0.015625014901161194
xgboost,89,0.0781250149011612
xgboost,90,0.015625014901161194
xgboost,91,0.046875
xgboost,92,0.015625
xgboost,93,0.0
xgboost,94,-0.031249985098838806
xgboost,95,0.031250014901161194
xgboost,96,-0.03125
xgboost,97,-0.015625
xgboost,98,-0.0625
xgboost,99,-0.03125
