heldout_source,layer,tail_position,direction_norm,validation_addition_effect,validation_ablation_reduction,selection_score
ddpm,8,-4,0.09955372661352158,0.013392864593437739,-0.004464276134967804,-0.004464276134967804
ddpm,8,-3,0.06742990016937256,0.0066964344254561835,-0.026785701513290405,-0.026785701513290405
ddpm,8,-2,0.05922601744532585,-0.024553571960755756,-0.004464281456811103,-0.024553571960755756
ddpm,8,-1,0.07395431399345398,-0.013392861932516098,0.04910715350082939,-0.013392861932516098
ddpm,9,-5,0.18313752114772797,-0.02232142591050693,0.017857146050248796,-0.02232142591050693
ddpm,9,-4,0.10301007330417633,0.013392864061253411,-0.013392859271594504,-0.013392859271594504
ddpm,9,-3,0.06813530623912811,-0.00892857728259904,0.008928573557308694,-0.00892857728259904
ddpm,9,-2,0.0675978884100914,-0.026785717478820255,0.031249990420682078,-0.026785717478820255
ddpm,9,-1,0.07874281704425812,-0.011160707899502345,0.0178571385996682,-0.011160707899502345
ddpm,10,-5,0.18569181859493256,-0.04687499787126269,0.04464285927159442,-0.04687499787126269
ddpm,10,-4,0.10407686233520508,0.022321429635797228,1.8094267140167375e-08,1.8094267140167375e-08
ddpm,10,-3,0.07081366330385208,0.002232145518064499,0.013392861400331746,0.002232145518064499
ddpm,10,-2,0.07502181082963943,-0.022321424313953946,0.013392859271594448,-0.022321424313953946
ddpm,10,-1,0.0806039497256279,0.026785717478820255,0.017857144985880147,0.017857144985880147
ddpm,11,-5,0.26543205976486206,-0.11830356184925352,6.386211892639437e-09,-0.11830356184925352
ddpm,11,-4,0.14020119607448578,0.04687500425747463,0.05803571641445157,0.04687500425747463
ddpm,11,-3,0.08060653507709503,-0.0022321375352995737,-0.004464281456811103,-0.004464281456811103
ddpm,11,-2,0.10070779919624329,-0.024553568767649785,0.004464283585548401,-0.024553568767649785
ddpm,11,-1,0.11071919649839401,-0.026785718011004583,0.022321430700165873,-0.026785718011004583
ddpm,12,-5,0.25940969586372375,-0.07366072333284787,0.008928582072257996,-0.07366072333284787
ddpm,12,-4,0.13759411871433258,0.031249998935631344,0.05803572280066352,0.031249998935631344
ddpm,12,-3,0.07902748882770538,-0.01339285128882953,0.013392859271594448,-0.01339285128882953
ddpm,12,-2,0.10425840318202972,-0.006696423249585288,-0.022321424313953953,-0.022321424313953953
ddpm,12,-1,0.1125330701470375,-0.01116071002823966,0.008928565042359449,-0.01116071002823966
ddpm,13,-5,0.25856712460517883,-0.01562499680689403,-0.008928571428571452,-0.01562499680689403
ddpm,13,-4,0.15557199716567993,0.011160717478820257,0.008928571428571397,0.008928571428571397
ddpm,13,-3,0.08112101256847382,-0.002232142857142857,0.026785724929400817,-0.002232142857142857
ddpm,13,-2,0.11235178261995316,-0.03794642644269126,0.0044642899717602935,-0.03794642644269126
