heldout_source,layer,tail_position,direction_norm,validation_addition_effect,validation_ablation_reduction,selection_score
kriging,11,-2,1.1470922231674194,0.11458333333333333,0.0625,0.0625
kriging,11,-1,0.8245429992675781,0.010416666666666666,0.04166666666666663,0.010416666666666666
kriging,12,-5,1.111376166343689,0.3020833333333333,-0.04166666666666674,-0.04166666666666674
kriging,12,-4,0.805829644203186,0.020833333333333332,0.08333333333333326,0.020833333333333332
kriging,12,-3,1.3208800554275513,0.2708333333333333,0.0,0.0
kriging,12,-2,1.0807324647903442,0.0625,-0.04166666666666674,-0.04166666666666674
kriging,12,-1,0.771346926689148,-0.041666666666666664,-0.08333333333333337,-0.08333333333333337
kriging,13,-5,1.3670339584350586,0.125,0.0625,0.0625
kriging,13,-4,0.9000017642974854,-0.052083333333333336,-0.16666666666666674,-0.16666666666666674
kriging,13,-3,1.4498733282089233,0.22916666666666666,-0.125,-0.125
kriging,13,-2,1.086269736289978,0.3020833333333333,0.08333333333333326,0.08333333333333326
kriging,13,-1,0.8480519652366638,-0.08333333333333333,0.0625,-0.08333333333333333
kriging,14,-5,1.3126044273376465,0.16666666666666666,0.125,0.125
kriging,14,-4,0.9489828944206238,-0.010416666666666666,-0.02083333333333337,-0.02083333333333337
kriging,14,-3,1.4209133386611938,0.40625,-0.20833333333333337,-0.20833333333333337
kriging,14,-2,1.1022417545318604,0.08333333333333333,0.08333333333333326,0.08333333333333326
kriging,14,-1,0.906464695930481,0.07291666666666667,0.04166666666666663,0.04166666666666663
kriging,15,-5,1.4067462682724,0.4791666666666667,0.0,0.0
kriging,15,-4,1.2363861799240112,-0.15625,0.04166666666666663,-0.15625
kriging,15,-3,1.4926726818084717,0.09375,0.0,0.0
kriging,15,-2,1.2218090295791626,0.10416666666666667,0.02083333333333326,0.02083333333333326
kriging,15,-1,0.8908848166465759,-0.23958333333333334,0.125,-0.23958333333333334
kriging,16,-5,1.393751621246338,0.53125,0.08333333333333326,0.08333333333333326
kriging,16,-4,1.5409207344055176,-0.17708333333333334,0.08333333333333326,-0.17708333333333334
kriging,16,-3,1.4645838737487793,0.041666666666666664,0.0625,0.041666666666666664
kriging,16,-2,1.2297722101211548,-0.10416666666666667,0.04166666666666663,-0.10416666666666667
kriging,16,-1,1.125400424003601,-0.14583333333333334,0.0,-0.14583333333333334
kriging,17,-5,1.6002528667449951,-0.020833333333333332,-0.25,-0.25
kriging,17,-4,1.8325432538986206,-0.21875,0.8124999999999999,-0.21875
kriging,17,-3,1.7429077625274658,-0.13541666666666666,0.10416666666666663,-0.13541666666666666
kriging,17,-2,1.402304768562317,-0.20833333333333334,-0.0625,-0.20833333333333334
kriging,17,-1,1.1802984476089478,-0.21875,0.29166666666666663,-0.21875
kriging,18,-5,1.5797038078308105,0.11458333333333333,0.02083333333333326,0.02083333333333326
kriging,18,-4,2.103624105453491,-0.08333333333333333,0.125,-0.08333333333333333
kriging,18,-3,1.7465498447418213,-0.1875,-0.02083333333333337,-0.1875
kriging,18,-2,1.416154146194458,-0.125,-0.10416666666666674,-0.125
kriging,18,-1,1.1885685920715332,-0.2708333333333333,-0.25,-0.2708333333333333
kriging,19,-5,1.5703600645065308,0.15625,-0.22916666666666674,-0.22916666666666674
kriging,19,-4,2.303288221359253,0.17708333333333334,0.02083333333333326,0.02083333333333326
kriging,19,-3,1.909887433052063,-0.03125,-0.10416666666666674,-0.10416666666666674
kriging,19,-2,1.5694729089736938,-0.4479166666666667,-0.3541666666666667,-0.4479166666666667
kriging,19,-1,1.1427371501922607,-0.3541666666666667,-0.7916666666666667,-0.7916666666666667
kriging,20,-5,1.7063839435577393,-0.15625,-0.4166666666666667,-0.4166666666666667
kriging,20,-4,2.374546766281128,0.2604166666666667,-0.27083333333333337,-0.27083333333333337
kriging,20,-3,1.9426413774490356,0.0,0.0,0.0
kriging,20,-2,1.6135526895523071,-0.4166666666666667,-0.27083333333333337,-0.4166666666666667
kriging,20,-1,1.106469988822937,-0.03125,-0.4166666666666667,-0.4166666666666667
kriging,21,-5,1.9308286905288696,-0.14583333333333334,-0.02083333333333337,-0.14583333333333334
kriging,21,-4,2.568284511566162,-0.13541666666666666,0.5208333333333334,-0.13541666666666666
kriging,21,-3,2.011000633239746,-0.3958333333333333,0.04166666666666663,-0.3958333333333333
kriging,21,-2,1.901125431060791,-0.3333333333333333,-0.37500000000000006,-0.37500000000000006
kriging,21,-1,1.3638319969177246,-0.25,0.02083333333333326,-0.25
kriging,22,-5,2.1671037673950195,0.1875,-0.16666666915019357,-0.16666666915019357
kriging,22,-4,2.4481661319732666,0.03125,-0.125,-0.125
kriging,22,-3,2.1053128242492676,-0.125,-0.22916666666666674,-0.22916666666666674
kriging,22,-2,2.027738332748413,-0.5208333333333334,0.10416666666666663,-0.5208333333333334
kriging,22,-1,1.2990694046020508,0.020833333333333332,-0.14583333333333337,-0.14583333333333337
kriging,23,-5,2.3718032836914062,0.08333333333333333,0.0,0.0
kriging,23,-4,2.6197574138641357,-0.20833333333333334,0.02083333333333326,-0.20833333333333334
kriging,23,-3,2.1643683910369873,0.020833333333333332,0.14583333333333326,0.020833333333333332
