kind,seed,example_id,source_id,profile_index,technical_label,alpha,technical_margin
random,11,transformer:novice:test:7:A,transformer,7,A,2.0,2.0000000447034836
random,11,transformer:novice:test:7:B,transformer,7,B,-2.0,-0.5
random,11,transformer:novice:test:7:B,transformer,7,B,2.0,-0.25
random,12,resnet:novice:test:6:A,resnet,6,A,-2.0,-5.250000011175871
random,12,resnet:novice:test:6:A,resnet,6,A,2.0,-4.7500000186264515
random,12,resnet:novice:test:6:B,resnet,6,B,-2.0,-8.250000034138793
random,12,resnet:novice:test:6:B,resnet,6,B,2.0,-8.499999663079507
random,12,resnet:novice:test:7:A,resnet,7,A,-2.0,-2.0000000447034836
random,12,resnet:novice:test:7:A,resnet,7,A,2.0,-0.5
random,12,resnet:novice:test:7:B,resnet,7,B,-2.0,-7.500000152911525
random,12,resnet:novice:test:7:B,resnet,7,B,2.0,-6.999999819439836
random,12,transformer:novice:test:6:A,transformer,6,A,-2.0,-4.999999948777258
random,12,transformer:novice:test:6:A,transformer,6,A,2.0,-4.250000044703484
random,12,transformer:novice:test:6:B,transformer,6,B,-2.0,-7.749999973515514
random,12,transformer:novice:test:6:B,transformer,6,B,2.0,-7.749999973515514
random,12,transformer:novice:test:7:A,transformer,7,A,-2.0,1.0
random,12,transformer:novice:test:7:A,transformer,7,A,2.0,2.9999999925494194
random,12,transformer:novice:test:7:B,transformer,7,B,-2.0,-0.7499999701976776
random,12,transformer:novice:test:7:B,transformer,7,B,2.0,-0.25
random,13,resnet:novice:test:6:A,resnet,6,A,-2.0,-4.999999948777258
random,13,resnet:novice:test:6:A,resnet,6,A,2.0,-4.500000096857548
random,13,resnet:novice:test:6:B,resnet,6,B,-2.0,-9.499999525964085
random,13,resnet:novice:test:6:B,resnet,6,B,2.0,-7.250000132829882
random,13,resnet:novice:test:7:A,resnet,7,A,-2.0,-1.7499999850988388
random,13,resnet:novice:test:7:A,resnet,7,A,2.0,-0.5
random,13,resnet:novice:test:7:B,resnet,7,B,-2.0,-8.749999893334461
random,13,resnet:novice:test:7:B,resnet,7,B,2.0,-5.749999928288162
random,13,transformer:novice:test:6:A,transformer,6,A,-2.0,-4.500000096857548
random,13,transformer:novice:test:6:A,transformer,6,A,2.0,-4.250000044703484
random,13,transformer:novice:test:6:B,transformer,6,B,-2.0,-8.999999649982783
random,13,transformer:novice:test:6:B,transformer,6,B,2.0,-6.749999969732016
random,13,transformer:novice:test:7:A,transformer,7,A,-2.0,2.2500000298023224
random,13,transformer:novice:test:7:A,transformer,7,A,2.0,1.7499999850988388
random,13,transformer:novice:test:7:B,transformer,7,B,-2.0,-1.7499999850988388
random,13,transformer:novice:test:7:B,transformer,7,B,2.0,0.7499999701976776
random,14,resnet:novice:test:6:A,resnet,6,A,-2.0,-4.7500000186264515
random,14,resnet:novice:test:6:A,resnet,6,A,2.0,-4.999999948777258
random,14,resnet:novice:test:6:B,resnet,6,B,-2.0,-9.749999882489647
random,14,resnet:novice:test:6:B,resnet,6,B,2.0,-7.250000132829882
random,14,resnet:novice:test:7:A,resnet,7,A,-2.0,-0.5
random,14,resnet:novice:test:7:A,resnet,7,A,2.0,-1.7499999850988388
random,14,resnet:novice:test:7:B,resnet,7,B,-2.0,-8.999999649982783
random,14,resnet:novice:test:7:B,resnet,7,B,2.0,-6.000000086612999
random,14,transformer:novice:test:6:A,transformer,6,A,-2.0,-4.500000096857548
random,14,transformer:novice:test:6:A,transformer,6,A,2.0,-3.9999998919665813
random,14,transformer:novice:test:6:B,transformer,6,B,-2.0,-9.250000243031536
random,14,transformer:novice:test:6:B,transformer,6,B,2.0,-6.749999969732016
random,14,transformer:novice:test:7:A,transformer,7,A,-2.0,2.7499999962747097
random,14,transformer:novice:test:7:A,transformer,7,A,2.0,2.0000000447034836
random,14,transformer:novice:test:7:B,transformer,7,B,-2.0,-1.7499999850988388
random,14,transformer:novice:test:7:B,transformer,7,B,2.0,0.5
random,15,resnet:novice:test:6:A,resnet,6,A,-2.0,-3.9999998919665813
random,15,resnet:novice:test:6:A,resnet,6,A,2.0,-5.499999983236194
random,15,resnet:novice:test:6:B,resnet,6,B,-2.0,-8.000000294676283
random,15,resnet:novice:test:6:B,resnet,6,B,2.0,-9.499999525964085
random,15,resnet:novice:test:7:A,resnet,7,A,-2.0,-0.5
random,15,resnet:novice:test:7:A,resnet,7,A,2.0,-1.7499999850988388
random,15,resnet:novice:test:7:B,resnet,7,B,-2.0,-6.749999969732016
random,15,resnet:novice:test:7:B,resnet,7,B,2.0,-8.000000294676283
random,15,transformer:novice:test:6:A,transformer,6,A,-2.0,-3.4999999310821295
random,15,transformer:novice:test:6:A,transformer,6,A,2.0,-5.749999928288162
random,15,transformer:novice:test:6:B,transformer,6,B,-2.0,-7.500000152911525
random,15,transformer:novice:test:6:B,transformer,6,B,2.0,-8.499999663079507
random,15,transformer:novice:test:7:A,transformer,7,A,-2.0,2.5000000968575478
random,15,transformer:novice:test:7:A,transformer,7,A,2.0,2.0000000447034836
random,15,transformer:novice:test:7:B,transformer,7,B,-2.0,-0.25
random,15,transformer:novice:test:7:B,transformer,7,B,2.0,-1.25
random,16,resnet:novice:test:6:A,resnet,6,A,-2.0,-6.250000192085281
random,16,resnet:novice:test:6:A,resnet,6,A,2.0,-3.4999999310821295
random,16,resnet:novice:test:6:B,resnet,6,B,-2.0,-9.749999882489647
random,16,resnet:novice:test:6:B,resnet,6,B,2.0,-7.749999973515514
random,16,resnet:novice:test:7:A,resnet,7,A,-2.0,-2.0000000447034836
random,16,resnet:novice:test:7:A,resnet,7,A,2.0,-0.5
random,16,resnet:novice:test:7:B,resnet,7,B,-2.0,-8.000000294676283
random,16,resnet:novice:test:7:B,resnet,7,B,2.0,-6.50000017543789
random,16,transformer:novice:test:6:A,transformer,6,A,-2.0,-6.000000086612999
random,16,transformer:novice:test:6:A,transformer,6,A,2.0,-2.9999999925494194
random,16,transformer:novice:test:6:B,transformer,6,B,-2.0,-8.999999649982783
random,16,transformer:novice:test:6:B,transformer,6,B,2.0,-6.999999819439836
random,16,transformer:novice:test:7:A,transformer,7,A,-2.0,2.0000000447034836
random,16,transformer:novice:test:7:A,transformer,7,A,2.0,2.2500000298023224
random,16,transformer:novice:test:7:B,transformer,7,B,-2.0,-1.5000000596046448
random,16,transformer:novice:test:7:B,transformer,7,B,2.0,0.0
random,17,resnet:novice:test:6:A,resnet,6,A,-2.0,-4.500000096857548
random,17,resnet:novice:test:6:A,resnet,6,A,2.0,-5.250000011175871
random,17,resnet:novice:test:6:B,resnet,6,B,-2.0,-8.000000294676283
random,17,resnet:novice:test:6:B,resnet,6,B,2.0,-9.749999882489647
random,17,resnet:novice:test:7:A,resnet,7,A,-2.0,-1.25
random,17,resnet:novice:test:7:A,resnet,7,A,2.0,-0.7499999701976776
random,17,resnet:novice:test:7:B,resnet,7,B,-2.0,-6.749999969732016
random,17,resnet:novice:test:7:B,resnet,7,B,2.0,-8.749999893334461
random,17,transformer:novice:test:6:A,transformer,6,A,-2.0,-3.9999998919665813
random,17,transformer:novice:test:6:A,transformer,6,A,2.0,-4.7500000186264515
random,17,transformer:novice:test:6:B,transformer,6,B,-2.0,-7.250000132829882
random,17,transformer:novice:test:6:B,transformer,6,B,2.0,-8.999999649982783
random,17,transformer:novice:test:7:A,transformer,7,A,-2.0,2.2500000298023224
random,17,transformer:novice:test:7:A,transformer,7,A,2.0,2.5000000968575478
random,17,transformer:novice:test:7:B,transformer,7,B,-2.0,-0.25
random,17,transformer:novice:test:7:B,transformer,7,B,2.0,-1.5000000596046448
random,18,resnet:novice:test:6:A,resnet,6,A,-2.0,-4.250000044703484
random,18,resnet:novice:test:6:A,resnet,6,A,2.0,-5.250000011175871
random,18,resnet:novice:test:6:B,resnet,6,B,-2.0,-8.999999649982783
random,18,resnet:novice:test:6:B,resnet,6,B,2.0,-6.749999969732016
random,18,resnet:novice:test:7:A,resnet,7,A,-2.0,-1.0
random,18,resnet:novice:test:7:A,resnet,7,A,2.0,-1.7499999850988388
random,18,resnet:novice:test:7:B,resnet,7,B,-2.0,-8.250000034138793
random,18,resnet:novice:test:7:B,resnet,7,B,2.0,-5.749999928288162
random,18,transformer:novice:test:6:A,transformer,6,A,-2.0,-3.4999999310821295
