test_set,kind,seed,aggregate_gap
stimuli_prospective_profile_paraphrase,random,37,-0.0017995648086071014
stimuli_prospective_profile_paraphrase,permuted_labels,37,-0.16128384601324797
stimuli_prospective_profile_paraphrase,random,38,0.010278548114001751
stimuli_prospective_profile_paraphrase,permuted_labels,38,0.2384316986426711
stimuli_prospective_profile_paraphrase,random,39,-0.009679258801043034
stimuli_prospective_profile_paraphrase,permuted_labels,39,0.23071692511439323
stimuli_prospective_profile_paraphrase,random,40,0.0020538100507110357
stimuli_prospective_profile_paraphrase,permuted_labels,40,0.027930034324526787
stimuli_prospective_profile_paraphrase,random,41,-0.016055025160312653
stimuli_prospective_profile_paraphrase,permuted_labels,41,0.13046964863315225
stimuli_prospective_profile_paraphrase,random,42,0.0007085278630256653
stimuli_prospective_profile_paraphrase,permuted_labels,42,-0.010025374591350555
stimuli_prospective_profile_paraphrase,random,43,-0.016298308153636754
stimuli_prospective_profile_paraphrase,permuted_labels,43,0.0984899289906025
stimuli_prospective_profile_paraphrase,random,44,0.014790007844567299
stimuli_prospective_profile_paraphrase,permuted_labels,44,-0.1368795558810234
stimuli_prospective_profile_paraphrase,random,45,0.02658894087653607
stimuli_prospective_profile_paraphrase,permuted_labels,45,0.142937321215868
stimuli_prospective_profile_paraphrase,random,46,-0.0015769368037581444
stimuli_prospective_profile_paraphrase,permuted_labels,46,-0.04101564269512892
stimuli_prospective_profile_paraphrase,random,47,0.01183160301297903
stimuli_prospective_profile_paraphrase,permuted_labels,47,0.15851218393072486
stimuli_prospective_profile_paraphrase,random,48,0.02205494837835431
stimuli_prospective_profile_paraphrase,permuted_labels,48,0.2263194229453802
stimuli_prospective_profile_paraphrase,random,49,-0.012058038264513016
stimuli_prospective_profile_paraphrase,permuted_labels,49,0.12250767089426517
stimuli_prospective_profile_paraphrase,random,50,-0.008405403234064579
stimuli_prospective_profile_paraphrase,permuted_labels,50,-0.07736137136816978
stimuli_prospective_profile_paraphrase,random,51,-0.010182343423366547
stimuli_prospective_profile_paraphrase,permuted_labels,51,-0.10442425683140755
stimuli_prospective_profile_paraphrase,random,52,-0.023881518049165606
stimuli_prospective_profile_paraphrase,permuted_labels,52,0.1891625104472041
