layer,tail_position,direction_norm,validation_decoding_accuracy,validation_addition_effect,validation_ablation_reduction,selection_score
14,-2,0.22015002369880676,0.75,3.725290298461914e-09,0.0625000074505806,3.725290298461914e-09
14,-1,0.23771438002586365,0.75,0.046875,2.9802322387695312e-08,2.9802322387695312e-08
15,-5,0.9763009548187256,0.875,0.46875,0.53125,0.46875
15,-4,0.5022366642951965,0.75,0.109375,0.2500000298023224,0.109375
15,-3,0.14600607752799988,0.875,0.03125,0.375,0.03125
15,-2,0.26505324244499207,0.625,0.0624999925494194,0.03125,0.03125
15,-1,0.3778972029685974,0.625,0.1250000074505806,0.46875,0.1250000074505806
16,-5,1.2441095113754272,0.875,0.421875,0.40625,0.40625
16,-4,0.6828205585479736,0.75,0.140625,0.3125000298023224,0.140625
16,-3,0.1750984936952591,0.875,0.046875014901161194,0.09374997019767761,0.046875014901161194
16,-2,0.5597987771034241,1.0,0.0781250074505806,0.1875,0.0781250074505806
16,-1,0.7151908874511719,0.875,0.234375,0.5,0.234375
17,-5,2.3341143131256104,1.0,1.578125,0.6875000149011612,0.6875000149011612
17,-4,0.6293616890907288,0.75,0.140625,0.1562500298023224,0.140625
17,-3,0.20442058145999908,1.0,0.109375,0.15625,0.109375
17,-2,0.6261590123176575,1.0,0.1875,0.2812500149011612,0.1875
17,-1,1.416522741317749,1.0,0.9218749850988388,0.5625,0.5625
18,-5,2.268495798110962,1.0,1.3281249925494194,0.75,0.75
18,-4,0.6051998138427734,0.75,0.1250000074505806,0.1875000298023224,0.1250000074505806
18,-3,0.23947934806346893,1.0,0.0625,0.0625,0.0625
18,-2,0.6887505650520325,1.0,0.28125,0.0625,0.0625
18,-1,1.6349780559539795,1.0,0.9843750223517418,0.59375,0.59375
19,-5,4.486059665679932,1.0,0.625,0.1875,0.1875
19,-4,0.63502436876297,0.75,0.03125,0.0937500074505806,0.03125
19,-3,0.2555907964706421,1.0,0.015625,-0.062499985098838806,-0.062499985098838806
19,-2,0.920758068561554,1.0,0.140625,0.09375,0.09375
19,-1,2.642953395843506,1.0,0.4843750037252903,0.3437499701976776,0.3437499701976776
20,-5,4.056017875671387,1.0,0.4062499925494194,0.2500000074505806,0.2500000074505806
20,-4,0.7173119187355042,0.75,0.0312500074505806,0.0,0.0
20,-3,0.32671040296554565,1.0,0.0468749925494194,-0.09375,-0.09375
20,-2,1.296555757522583,1.0,0.140625,-0.0625,-0.0625
20,-1,2.8723084926605225,1.0,0.4375,0.3750000149011612,0.3750000149011612
21,-5,4.175447463989258,1.0,0.390625,0.15625,0.15625
21,-4,0.8601687550544739,0.875,0.03125,0.0624999925494194,0.03125
21,-3,0.4331660568714142,1.0,0.015625007450580597,-0.031249985098838806,-0.031249985098838806
21,-2,1.5391408205032349,1.0,0.15625,-0.03125,-0.03125
21,-1,3.0059118270874023,1.0,0.3593750074505806,0.25,0.25
